['281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000']
         1417665 function calls (1390735 primitive calls) in 2.815 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      524    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
    373/5    0.002    0.000    0.532    0.106 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
   174/96    0.000    0.000    0.236    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      524    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      373    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      373    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      524    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    413/5    0.000    0.000    0.529    0.106 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3723    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      611    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
     1048    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      330    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  330/325    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    330/5    0.002    0.000    0.530    0.106 <frozen importlib._bootstrap>:664(_load_unlocked)
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      364    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
     1054    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1054    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      364    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    371/5    0.002    0.000    0.532    0.106 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      300    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
     11/9    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       11    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
     3550    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3550    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      600    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      753    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      345    0.003    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     1431    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      345    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      446    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      311    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      652    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      413    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      600    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      311    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
  301/300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      300    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      300    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      652    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      311    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      900    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    300/5    0.001    0.000    0.530    0.106 <frozen importlib._bootstrap_external>:877(exec_module)
      300    0.003    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       33    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        2    0.000    0.000    0.000    0.000 <string>:2(__eq__)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       34    0.002    0.000    1.354    0.040 __init__.py:1(<module>)
     8018    0.008    0.000    0.104    0.000 __init__.py:1056(handle_endtag)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
