['281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000']
         1180019 function calls (1156016 primitive calls) in 2.776 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
    217/4    0.001    0.000    0.364    0.091 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
    74/40    0.000    0.000    0.160    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      217    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      258    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    243/4    0.000    0.000    0.353    0.088 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     2376    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      337    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      190    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  190/187    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    190/4    0.001    0.000    0.364    0.091 <frozen importlib._bootstrap>:664(_load_unlocked)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      605    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      605    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      213    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    215/4    0.001    0.000    0.364    0.091 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      164    0.001    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
      9/7    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
        9    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
     2261    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2261    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      328    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      502    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      196    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      848    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      196    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      423    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      328    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      173    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
  165/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      164    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      164    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      173    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      492    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    164/4    0.001    0.000    0.363    0.091 <frozen importlib._bootstrap_external>:877(exec_module)
      164    0.002    0.000    0.107    0.001 <frozen importlib._bootstrap_external>:950(get_code)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
